,Name,Compound,Description,Duration,End,Negative,Neutral,Positive,Price(USD),ROI(Pct),Start,Ticker,Timezone
i,Daneel,,,,,,,,,,,,
i,Helbiz Coin,,,,,,,,,,,,
i,Electrify.asia,,,,,,,,,,,,
i,e-Chat,0.039795000000000004,,,,0.0,0.9869,0.0131,,,,,
i,MedicalChain,0.1835,,,,0.031071428571428576,0.8822142857142856,0.08671428571428573,,,,,
i,WaterTech,0.36897,,,,0.0,0.8619499999999999,0.13805,,,,,
i,Corusblock,,,,,,,,,,,,
i,KYC.LEGAL,,,,,,,,,,,,
i,CryptoHawk,,,,,,,,,,,,
i,NapoleonX,,,,,,,,,,,,
i,MinerDog,,,,,,,,,,,,
i,Vionex,,,,,,,,,,,,
i,DEEX,0.0,,,,0.0,1.0,0.0,,,,,
i,CREDITS,0.22679500000000002,,,,0.027200000000000002,0.8657499999999999,0.10744999999999998,,,,,
i,Nucleus.Vision,-0.04173,,,,0.0189,0.9727499999999999,0.00835,,,,,
i,Lympo,0.47939285714285707,,,,0.0,0.8675714285714285,0.13242857142857142,,,,,
i,Apex,0.00258,,,,0.0068000000000000005,0.9841000000000001,0.0091,,,,,
i,DATx,,,,,,,,,,,,
i,Lucyd,0.45268666666666657,,,,0.0,0.8418,0.1582,,,,,
i,Volinex,,,,,,,,,,,,
i,Tradove,,,,,,,,,,,,
i,Blocklancer,-0.1027,,,,0.124,0.73,0.146,,,,,
i,DADI,0.27321000000000006,,,,0.0528,0.8114499999999998,0.1357500000000001,,,,,
i,Chain ID,0.5643571428571429,,,,0.0,0.7921428571428571,0.20785714285714282,,,,,
i,CacaoShares,,,,,,,,,,,,
i,Hurify,0.45880000000000004,,,,0.0,0.84,0.16,,,,,
i,MultiGames,,,,,,,,,,,,
i,Stockchain Global,,,,,,,,,,,,
i,Rentberry,0.5745833333333333,,,,0.0,0.8416666666666668,0.15833333333333333,,,,,
i,RAISON,0.09136999999999999,,,,0.0,0.9696,0.0304,,,,,
i,MARK.SPACE,0.209835,,,,0.0,0.9251000000000001,0.07490000000000001,,,,,
i,StreamSpace,,,,,,,,,,,,
i,PayPro,,,,,,,,,,,,
i,HOQU,0.4006714285714286,,,,0.0,0.8918571428571429,0.10814285714285714,,,,,
i,Remechain,,,,,,,,,,,,
i,Odyssey,0.33929,,,,0.0032,0.8707499999999998,0.12604999999999997,,,,,
i,Local World Forwarders,,,,,,,,,,,,
i,Crypto Trust Network,0.33036428571428555,,,,0.06778571428571427,0.7477857142857143,0.18442857142857144,,,,,
i,BioFactoryCoin,,,,,,,,,,,,
i,BABB,0.008029999999999999,,,,0.0123,0.9739000000000001,0.013800000000000002,,,,,
i,Taklimakan Network,,,,,,,,,,,,
i,BITROAD,,,,,,,,,,,,
i,Outing,0.129275,,,,0.010150000000000001,0.9423000000000001,0.047549999999999995,,,,,
i,Colu Local Network,,,,,,,,,,,,
i,VaultBank,,,,,,,,,,,,
i,Republic Protocol,,,,,,,,,,,,
i,Krios,0.30054117647058826,,,,0.005058823529411764,0.9115882352941177,0.08335294117647059,,,,,
i,MATRIX,0.13048500000000002,,,,0.028500000000000004,0.90685,0.06464999999999999,,,,,
i,FuzeX,,,,,,,,,,,,
i,BMarkt,,,,,,,,,,,,
i,cryptoibet,,,,,,,,,,,,
i,DIGIT Coin,,,,,,,,,,,,
i,Dether,0.0,,,,0.0,1.0,0.0,,,,,
i,Skraps,,,,,,,,,,,,
i,REDMegaWatt,,,,,,,,,,,,
i,3D-Token,,,,,,,,,,,,
i,Scorum,0.3829,,,,0.0070999999999999995,0.8499500000000001,0.14295000000000002,,,,,
i,Fusion,0.06631000000000001,,,,0.03715,0.8967,0.06615000000000001,,,,,
i,ArcBlock,0.2891666666666666,,,,0.0,0.8690000000000001,0.131,,,,,
i,EscapeToken,,,,,,,,,,,,
i,Sharpe Capital,,,,,,,,,,,,
i,Inspeer,,,,,,,,,,,,
i,WePower,0.121685,,,,0.014500000000000002,0.9275,0.05800000000000001,,,,,
i,EnergiToken,-0.004588235294117656,,,,0.10429411764705886,0.7514705882352943,0.1442941176470588,,,,,
i,AidCoin,,,,,,,,,,,,
i,Uservice,,,,,,,,,,,,
i,IUNGO,0.0,,,,0.0,1.0,0.0,,,,,
i,Shping,,,,,,,,,,,,
i,ShipChain,0.0,,,,0.0,1.0,0.0,,,,,
i,The Bee Token,,,,,,,,,,,,
i,Crowdwiz,,,,,,,,,,,,
i,Kind Ads,,,,,,,,,,,,
i,Pocketinns,,,,,,,,,,,,
i,ViMarket,,,,,,,,,,,,
i,Gameflip - FLIP (FLP),,,,,,,,,,,,
i,Storiqa,,,,,,,,,,,,
i,Polymath,0.34072500000000006,,,,0.0036499999999999996,0.8581000000000001,0.13825000000000004,,,,,
i,Jibrel Network,,,,,,,,,,,,
i,Propify,,,,,,,,,,,,
i,LiveEdu,,,,,,,,,,,,
i,BitDegree,0.0,,,,0.0,1.0,0.0,,,,,
