rank_cnc,Name,Ticker,market_cap,price,volume24,pct1h,pct24h,pct7d,country,platform,pre_ico_end,pre_ico_start,rating,status,type,End,Start,Duration,pre_Duration,compound,negative,neutral,positive,no_of_posts,Longevity,custom_index,custom_index_scaled,success
142, YOU COIN,YOU,"24,800,521",0.059259,"8,997,338",-0.29,-0.6,2.39,Singapore,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.6,Upcoming,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.43523,0.05083,0.84577,0.10332999999999999,100,779,46.162761,4.122359221291413e-05,0
143, Ripio Credit ...,RCN,"24,770,914",0.048643,"3,579,835",0.94,0.27,0.03,,,2017-09-28 03:00:00,2017-09-28 03:00:00,1.7,Unknown,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.809755,0.03785,0.85103,0.11102999999999999,100,779,37.892897000000005,3.383855651649664e-05,0
144, Ark,ARK,"24,575,622",0.212235,"325,474",-1.25,-3.53,-2.37,,,2017-09-28 03:00:00,2017-09-28 03:00:00,2.0,Trading,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.6586,0.034666667000000005,0.87425,0.09116666699999999,12,779,165.33106500000002,0.00014764156703348338,0
145, DigixDAO,DGD,"24,526,675",12.26,"356,819",-0.28,-0.88,-6.81,Singapore,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.3,Trading,ICO,2016-03-30 00:00:00,2016-03-29 00:00:00,1 days 00:00:00.000000000,0 days 00:00:00.000000000,0.42006499999999997,0.03505,0.90115,0.0638,20,1326,16256.759999999998,0.014517379339183102,1
146, Gatechain Token,GT,"23,867,097",0.578551,"3,085,757",0.26,1.36,-2.61,United States of America,Ethereum,2018-08-31 00:00:00,2018-05-01 00:00:00,4.4,Closed,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,122 days 00:00:00.000000000,0.505944,0.08121,0.0352,0.8836299999999999,100,779,450.6912290000001,0.0004024698202521035,0
147, FunFair,FUN,"23,847,715",0.003641,"389,100",-1.25,-4.04,-3.81,United Kingdom,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.0,Trading,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000,0.600949,0.13309,0.051089999999999997,0.81579,100,779,2.836339,2.532850373864751e-06,0
150, Fantom,FTM,"23,526,935",0.012972,"2,707,360",0.22,-1.3,-8.97,South Korea,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.4,Closed,ICO,2018-06-16 09:00:00,2018-06-15 09:00:00,1 days 00:00:00.000000000,0 days 00:00:00.000000000,0.6139272729999999,0.11918181800000001,0.044363636,0.836363636,11,518,6.7194959999999995,6.000531711767463e-06,0
153, Enigma,ENG,"22,634,711",0.302457,"1,261,610",-0.55,0.43,0.91,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.1,Trading,ICO,2017-09-11 13:00:00,2017-09-11 12:00:00,0 days 01:00:00.000000000,0 days 00:00:00.000000000,0.571433333,0.082583333,0.028333333,0.888875,24,796,240.75577199999998,0.00021499626036179325,0
157, Aragon,ANT,"21,546,140",0.711845,"9,601",-0.11,-2.58,-7.94,Spain,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,2.8,Trading,ICO,2017-05-17 13:00:00,2017-05-17 12:00:00,0 days 01:00:00.000000000,0 days 00:00:00.000000000,0.466295455,0.032909091,0.9003636359999999,0.066772727,22,913,649.914485,0.0005803773235818463,0
159, Arcblock,ABT,"21,005,768",0.213139,"18,126,016",-4.13,4.17,26.39,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.8,Trading,ICO,2018-02-04 00:00:00,2018-02-03 23:00:00,0 days 01:00:00.000000000,0 days 00:00:00.000000000,-0.987775,0.07925,0.8665,0.05375,4,650,138.54035,0.00012371730581134624,0
162, Bancor,BNT,"20,400,332",0.325945,"5,513,830",-0.15,0.45,0.99,Switzerland,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.6,Trading,ICO,2017-06-12 22:00:00,2017-06-12 17:00:00,0 days 05:00:00.000000000,0 days 00:00:00.000000000,-0.036371605,0.014802468999999999,0.970358025,0.014839506,81,887,289.113215,0.0002581797326344297,0
166, Power Ledger,POWR,"19,720,175",0.046810,"795,710",0.32,0.74,-3.4,Australia,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.9,Trading,ICO,2017-09-14 06:00:00,2017-08-27 06:00:00,18 days 00:00:00.000000000,0 days 00:00:00.000000000,0.731454,0.034069999999999996,0.85593,0.10998,100,793,37.120329999999996,3.314864978128621e-05,0
167, Aave,LEND,"19,686,543",0.017447,"1,404,001",0.88,8.17,36.69,Estonia,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.3,Trading,ICO,2017-12-09 12:00:00,2017-11-25 12:00:00,14 days 00:00:00.000000000,0 days 00:00:00.000000000,0.74437,0.040889999999999996,0.85124,0.10786,100,707,12.335029,1.1015234693510625e-05,0
169, CRYPTO20,C20,"18,615,391",0.461364,"1,396",-0.13,-5.52,-5.24,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.4,Trading,ICO,2017-12-05 23:00:00,2017-10-07 18:00:00,59 days 05:00:00.000000000,0 days 00:00:00.000000000,0.42756000000000005,0.0416,0.019,0.9396,5,711,328.029804,0.0002929324684651288,0
170, Cortex,CTXC,"18,503,907",0.123530,"19,834,554",-5.85,70.15,60.52,Singapore,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Trading,ICO,2018-03-02 00:00:00,2018-02-07 00:00:00,23 days 00:00:00.000000000,0 days 00:00:00.000000000,0.085154545,0.076090909,0.055181818,0.868545455,11,624,77.08272000000001,6.883529186683413e-05,0
172, Metal,MTL,"18,327,298",0.345904,"2,924,099",-0.01,-0.65,-3.64,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.0,Closed,ICO,2017-06-10 00:00:00,2017-06-09 00:00:00,1 days 00:00:00.000000000,0 days 00:00:00.000000000,0.783107,0.04189,0.84736,0.11083,100,889,307.508656,0.0002746069663152184,0
174, Dent,DENT,"17,607,816",0.000231,"220,500",-3.08,-3.18,-9.21,China,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.0,Trading,ICO,2017-07-27 01:59:59,2017-07-12 21:38:32,14 days 04:21:27.000000000,0 days 00:00:00.000000000,0.681488889,0.04444444400000001,0.858222222,0.097111111,9,842,0.194502,1.7367487241557304e-07,0
175, Robotina,ROX,"17,580,976",0.057878,"123,936",-0.25,0.93,1.11,Slovenia,Ethereum,2018-03-21 13:59:59,2018-02-21 14:00:00,4.8,Closed,ICO,2018-04-30 13:59:59,2018-03-21 14:00:00,39 days 23:59:59.000000000,27 days 23:59:59.000000000,0.0,0.0,1.0,0.0,0,565,32.70107,2.9202225408194957e-05,0
176, Gnosis,GNO,"17,292,126",15.65,"26,756",-0.28,-1.62,-1.6,Germany,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Trading,ICO,2017-04-14 13:00:00,2017-04-14 12:00:00,0 days 01:00:00.000000000,0 days 00:00:00.000000000,0.6153333329999999,0.034111111,0.886777778,0.07922222200000001,9,946,14804.9,0.013220860082493912,1
