price,country,platform,End,Start,compound,negative,neutral,positive,no_of_posts,success
0.24,,,9/28/2017 3:00,9/28/2017 3:00,-0.198425,0.01425,0.01625,0.96925,8,0
0.09,,,9/28/2017 3:00,9/28/2017 3:00,0,0,0,0,0,0
0.28,Singapore,Ethereum,8/15/2018 0:00,7/30/2018 0:00,0.525727,0.08254,0.03355,0.88396,100,0
0.18,Belize,Ethereum,10/31/2017 6:00,9/19/2017 3:00,0.399733333,0.008666667,0.917666667,0.073666667,3,0
0.02,United Arab Emirates,Ethereum,10/26/2017 12:00,9/26/2017 12:00,0.620953,0.03162,0.87697,0.09134,100,0
0.04,Singapore,Ethereum,1/15/2018 0:00,12/13/2017 0:00,0,0,0,0,0,0
0.09,Israel,Ethereum,5/8/2018 17:00,5/8/2018 4:00,0.413036585,0.118268293,0.039780488,0.84202439,41,0
0.03,United States of America,Ethereum,9/28/2017 3:00,9/28/2017 3:00,0.3560875,0.079125,0.046875,0.874125,8,0
0.00,United States of America,Ethereum,12/13/2017 0:00,11/13/2017 0:00,0,0,0,0,0,0
0.00,United States of America,Ethereum,10/25/2017 7:00,10/19/2017 18:00,0.66376,0.0384,0.8982,0.0634,5,0
0.00,Switzerland,Ethereum,2/1/2018 0:00,1/16/2018 0:00,0.261839583,0.070229167,0.834625,0.0950625,48,0
0.00,Canada,Ethereum,10/29/2017 3:00,10/1/2017 3:00,0.259109,0.08607,0.06327,0.85053,100,0
0.00,Romania,Ethereum,3/22/2018 23:59,3/1/2018 0:00,0.541983,0.09712,0.04135,0.8615,100,0
0.01,Malaysia,NEM,6/15/2017 15:00,4/9/2017 15:00,0,0,0,0,0,0
0.05,,,9/28/2017 3:00,9/28/2017 3:00,0.667177778,0.091333333,0.040888889,0.867888889,18,0
0.00,Israel,Ethereum,9/28/2017 3:00,9/28/2017 3:00,0.723549,0.09997,0.02831,0.87174,100,0
0.00,China,Ethereum,11/30/2017 12:00,10/10/2017 12:00,0.6977,0.10113,0.03742,0.8614,100,0
0.00,South Korea,,5/10/2017 20:00,5/10/2017 1:00,0.712566667,0.034166667,0.844666667,0.121,6,0
0.00,Estonia,Ethereum,12/12/2018 23:59,9/15/2018 0:00,0.706183333,0.093333333,0.038666667,0.867833333,6,0
0.01,Singapore,Ethereum,12/8/2017 18:16,11/17/2017 0:00,0.626581,0.09288,0.03747,0.86968,100,0
0.43,,Ethereum,2/27/2017 12:00,2/13/2017 12:00,0.815923333,0.132566667,0.027533333,0.839966667,30,0
0.01,,,9/28/2017 3:00,9/28/2017 3:00,-0.3934,0.006,0.0175,0.9765,2,0
0.01,,,9/28/2017 3:00,9/28/2017 3:00,-0.001566667,0.015333333,0.970833333,0.013833333,6,0
0.01,,Ethereum,9/28/2017 3:00,9/28/2017 3:00,0.394429851,0.044343284,0.851955224,0.103701493,67,0
0.00,Isle of Man,EOS,10/31/2018 23:59,10/18/2018 0:00,0.435584211,0.069210526,0.032684211,0.898157895,19,0
0.03,Liechtenstein,Ethereum,10/27/2017 12:00,10/21/2017 12:00,0.5757,0.04586,0.84835,0.10576,100,0
0.01,Hong Kong,Ethereum,10/19/2018 0:00,10/17/2018 0:00,0.72621875,0.1265625,0.025,0.8484375,16,0
0.08,,Ethereum,10/16/2017 3:00,9/16/2017 15:00,0.706111,0.08549,0.03277,0.88175,100,0
0.02,Slovenia,Ethereum,6/30/2018 12:00,6/15/2018 12:00,0.5831,0.052,0.010833333,0.937333333,6,0
0.01,,Ethereum,9/30/2017 12:00,8/1/2017 0:00,0.206135714,0.023857143,0.016428571,0.959571429,14,0
0.70,Estonia,Ethereum,3/13/2018 0:00,1/30/2018 0:00,0.9578,0.103,0,0.897,1,0
0.01,France,Ethereum,9/28/2017 3:00,9/28/2017 3:00,0.314018182,0.080272727,0.056454545,0.863363636,11,0
0.57,Canada,,9/28/2017 3:00,9/28/2017 3:00,0.1789,0.016666667,0.964,0.019,3,0
0.00,United States of America,Ethereum,5/20/2018 0:00,3/20/2018 0:00,0.615841,0.0315,0.87847,0.08996,100,0
0.02,Australia,Ethereum,5/31/2018 12:00,2/1/2018 12:00,0.452244,0.0746,0.03561,0.88981,100,0
0.04,United Kingdom,Hyperledger,5/31/2018 12:00,3/28/2018 12:00,0.833814286,0.120285714,0.012142857,0.867714286,7,0
0.16,Singapore,Ethereum,9/7/2017 14:00,8/24/2017 12:00,0.615841,0.0315,0.87847,0.08996,100,0
0.10,Seychelles,Ethereum,12/15/2017 16:00,11/15/2017 16:00,0.094142857,0.019428571,0.030428571,0.95,7,0
0.03,Switzerland,Ethereum,9/28/2017 3:00,9/28/2017 3:00,0.399707692,0.047,0.869923077,0.083,13,0
0.38,Estonia,Ethereum,12/25/2018 0:00,9/1/2018 0:00,0.321625,0.019,0.06725,0.91375,4,0
0.00,Singapore,Ethereum,3/4/2018 12:00,1/26/2018 12:00,0.399923,0.03092,0.89473,0.07435,100,0
0.04,Russia,Ethereum,11/1/2017 3:00,9/7/2017 3:00,0.977466667,0.015,0.856333333,0.128666667,3,0
0.00,,,8/25/2017 12:00,7/26/2017 1:00,0.7862,0,0.997,0.003,1,0
0.01,Malta,Ethereum,5/16/2018 14:00,4/18/2018 14:00,0.525304,0.08518,0.03059,0.88425,100,0
0.03,Costa Rica,Ethereum,9/15/2017 11:54,8/15/2017 11:54,0.41325,0.0315,0.84175,0.12675,4,0
1.00,United States of America,Ethereum,4/27/2017 15:00,3/29/2017 19:00,-0.3144,0.034666667,0.933333333,0.032,3,0
0.00,Singapore,Ethereum,5/24/2018 21:00,5/15/2018 21:00,0.712914286,0.041142857,0.855857143,0.103142857,7,0
0.00,,Ethereum,2/14/2018 20:00,2/13/2018 20:00,0.5762,0.017571429,0.947857143,0.034571429,7,0
0.00,Estonia,Ethereum,12/10/2018 0:00,11/10/2018 0:00,-0.28555,0.007,0.0115,0.981,2,0
0.03,Germany,Ethereum,5/16/2018 13:00,5/9/2018 13:00,-0.05187,0.0125,0.0149,0.9725,10,0
0.04,,,9/28/2017 3:00,9/28/2017 3:00,0.552179,0.04944,0.84175,0.10875,100,0
0.01,Cayman Islands,Ethereum,2/14/2018 23:00,1/28/2018 0:00,0.617485,0.0931,0.03792,0.86901,100,0
0.02,United States of America,Ethereum,10/29/2017 12:00,8/25/2017 12:00,0.9994,0.024,0.87,0.106,1,0
0.38,,,9/28/2017 3:00,9/28/2017 3:00,0,0,0,0,0,0
0.03,United Kingdom,Ethereum,10/7/2017 23:59,9/5/2017 0:00,0.533544565,0.104597826,0.048445652,0.846923913,92,0
0.00,Belarus,Ethereum,6/25/2018 0:00,4/16/2018 0:00,0,0,0,0,0,0
0.01,United Kingdom,Ethereum,7/31/2018 0:00,5/1/2018 0:00,0.501907,0.07946,0.03426,0.88633,100,0
0.00,Singapore,Ethereum,2/28/2018 12:00,1/23/2018 12:00,0.210953521,0.05843662,0.850380282,0.091183099,71,0
