ticker,compound,negative,neutral,positive,no_of_posts
NGC,0.72074,0.03321,0.87024,0.09653,100
NH,0.77035,0.02425,0.89,0.08525,4
NHCT,0,0,0,0,0
NKL,0,0,0,0,0
NKR,-0.9997,0.064,0.897,0.038,1
NOAH,0.399923,0.03092,0.89473,0.07435,100
NODE,0.364775,0.0417,0.87146,0.08679,100
NPX,0.188725,0.046,0.88,0.074,4
NVB,0.703351429,0.047285714,0.846571429,0.106228571,35
NVST,0,0,0,0,0
NXC,0.229447541,0.035934426,0.910622951,0.053459016,61
NXLS,0.9454,0.009,0.978,0.013,1
OAK,0.391880723,0.057771084,0.845,0.097277108,83
OCN,0.578818,0.03027,0.88496,0.0848,100
ODDZ,0,0,0,0,0
ODN,-0.465025,0.07,0.86175,0.0685,4
ODY,0,0,0,0,0
OGC,0,0,0,0,0
OGO,0.817166667,0.053166667,0.8305,0.116,6
OHC,0,0,0,0,0
OMG,0.77224,0.03813,0.85561,0.10621,100
OMX,0.997466667,0.024666667,0.883,0.092333333,3
ONL,0.548866,0.04374,0.84866,0.10752,100
OPP,-0.062625,0.0475,0.9335,0.01875,4
ORI,0.615841,0.0315,0.87847,0.08996,100
OSA,0.1451625,0.050125,0.8773125,0.07265625,32
OTC,0.930908791,0.025846154,0.853868132,0.120230769,91
OTG,0.467285714,0.049285714,0.852571429,0.097857143,7
PAT,0.299624,0.06468,0.84916,0.08628,25
PAVO,0,0,0,0,0
PAY,0.625296,0.05029,0.84267,0.10697,100
PBC,0.957975,0.022625,0.885,0.09225,8
PBL,0.99975,0.021,0.817,0.162,2
PBT,0.3612,0.007,0.977,0.016,1
PCX,0.7862,0,0.997,0.003,1
PEF,0.874828,0.0317,0.86582,0.10249,100
PERA,-0.467633333,0.058666667,0.893666667,0.047,3
PERL,0.65011875,0.027875,0.8610625,0.1111875,16
PGC,0,0,0,0,0
PHI,0.473249,0.0243,0.90195,0.07375,100
PIIT,0,0,0,0,0
PING,0.156617647,0.053098039,0.866313725,0.080686275,51
PINNS,0.9625,0.051,0.788,0.161,2
PIP,0.520783333,0.046833333,0.851583333,0.101416667,12
PITCH,0.647062857,0.044457143,0.832857143,0.122542857,35
PKT,-0.3612,0.014,0.9805,0.006,2
PLA,-0.016261111,0.027611111,0.906611111,0.065666667,18
PLAT,0.321057143,0.011142857,0.952857143,0.036,7
PLEO,0,0,0,0,0
PLM,0,0,0,0,0
PMNT,0,0,0,0,0
PMT,0,0,0,0,0
POLL,0.295706383,0.041531915,0.878085106,0.080340426,47
POLY,0.074578947,0.015105263,0.968105263,0.016789474,19
PON,0.869585,0.0435,0.83315,0.1236,20
POWR,0.731454,0.03407,0.85593,0.10998,100
PPD,0.2957,0.034,0.925,0.042,1
PPT,0.43688,0.04464,0.88092,0.07452,25
PPY,0.1789,0.016666667,0.964,0.019,3
PRG,0.399923,0.03092,0.89473,0.07435,100
PRIX,0.655616667,0.019166667,0.9085,0.072333333,6
PROFF,0.667247,0.05904,0.83032,0.11073,100
PST,0.552179,0.04944,0.84175,0.10875,100
PT,0.642464286,0.025142857,0.889357143,0.085571429,14
PTC,0.990675,0.03225,0.823,0.144833333,12
