rank_cnc,Name,Ticker,market_cap,price,volume24,pct1h,pct24h,pct7d,country,platform,pre_ico_end,pre_ico_start,rating,status,type,End,Start,Duration,pre_Duration,compound,negative,neutral,positive,no_of_posts,Longevity,success_PCA
444.0, DAO.Casino,BET,5289508,0.014709,441483,-7.66,-0.26,11.94,Singapore,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.7,Trading,ICO,2017-07-26 16:00:00,2017-06-29 16:00:00,30,0,-0.190466667,0.092444444,0.811777778,0.09577777800000001,9.0,844.0,0
124.0, Kyber Network,KNC,30855147,0.579415,2982164,-1.64,4.26,12.35,Singapore,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.5,Trading,ICO,2017-09-18 12:00:00,2017-09-15 12:00:00,1,0,0.43688,0.04464,0.88092,0.07452,25.0,844.0,0
7.0, EOS,EOS,3277372658,21.07,231846713,-0.46,-1.33,2.49,Cayman Islands,Own Blockchain,2017-09-28 03:00:00,2017-09-28 03:00:00,0.0,Trading,ICO,2018-06-12 00:00:00,2017-06-26 16:00:00,20,0,0.563773,0.09667,0.04141,0.8618899999999999,100.0,848.0,1
843.0, Chronobank,TIME,1181512,0.017627,1560,-0.13,15.58,13.3,Australia,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.1,Trading,ICO,2017-02-15 12:00:00,2016-12-15 12:00:00,47,0,0.580780952,0.09761904800000001,0.041428571000000004,0.8609523809999999,21.0,851.0,0
18.0, Cosmos,ATOM,821746518,1.24,44390717,-0.25,10.13,2.47,Canada,,2017-09-28 03:00:00,2017-09-28 03:00:00,4.3,Closed,ICO,2017-04-06 13:00:00,2017-04-06 12:00:00,13,0,0.6639387760000001,0.021938776,0.878857143,0.099326531,49.0,855.0,0
1095.0, Rivetz,RVT,477833,0.013355,34,0.08,3.43,8.4,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.0,Trading,ICO,2017-09-10 20:00:00,2017-08-10 21:00:00,2,0,0.0772,0.011000000000000001,0.977,0.012,1.0,856.0,0
383.0, Dusk Network,DUSK,6740846,0.081981,390180,-0.23,0.49,-4.11,Netherlands,Own Blockchain,2018-09-30 00:00:00,2018-08-01 00:00:00,3.7,Closed,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,0,60,0.8224,0.162,0.0,0.838,3.0,869.0,0
1126.0, Hero,HERO,432105,0.122396,0,0.0,0.0,-3.11,Austria,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,4.1,Trading,ICO,2017-10-14 14:00:00,2017-09-14 14:00:00,28,0,0.869152,0.12009,0.031160000000000007,0.8487600000000001,100.0,870.0,0
139.0, IoTeX,IOTX,26588746,0.039685000000000005,2670610,0.23,-0.64,-5.45,United States of America,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.0,Trading,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,7,0,0.7957,0.0504,0.8253,0.1243,10.0,871.0,0
308.0, Davinci Coin,DAC,10001845,0.074089,921798,-0.89,4.07,-2.74,Switzerland,Blockchain,2017-09-28 03:00:00,2017-09-28 03:00:00,4.1,Closed,ICO,2017-12-22 23:00:00,2017-11-27 09:00:00,0,0,0.625296,0.050289999999999994,0.84267,0.10697000000000001,100.0,872.0,0
761.0, 0Chain,ZCN,1605233,0.0,4471,-0.2,2.03,-25.75,Virgin Islands (British),Ethereum,2018-10-15 00:00:00,2018-04-02 00:00:00,3.1,Closed,ICO,2018-12-22 00:00:00,2018-12-01 00:00:00,1,196,0.3612,0.006999999999999999,0.977,0.016,1.0,872.0,0
1053.0, TraDove B2BCoin,BBC,531506,0.059059,33,-0.2,-1.67,-22.1,Russia,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,2.0,Unknown,ICO,2017-09-28 03:00:00,2017-09-28 03:00:00,31,0,0.156617647,0.05309803900000002,0.866313725,0.080686275,51.0,874.0,0
285.0, Monolith,TKN,11585804,0.061854,20097,0.03,2.98,-20.44,United Kingdom,Ethereum,2017-09-28 03:00:00,2017-09-28 03:00:00,3.1,Trading,ICO,2017-05-03 00:00:00,2017-05-02 00:00:00,24,0,-0.8231,0.069,0.91,0.021,1.0,874.0,0
