country,platform,pre_ico_end,pre_ico_start,rating,status,Name,type,End,Start,Duration,pre_Duration
Estonia,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,3.9,Closed,Exscudo,ICO,2017-05-31 12:00:00,2017-04-25 12:00:00,36 days 00:00:00.000000000,0 days 00:00:00.000000000
Australia,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.5,Closed,Hut34 Project,ICO,2017-12-07 00:00:00,2017-11-02 00:00:00,35 days 00:00:00.000000000,0 days 00:00:00.000000000
Singapore,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.3,Closed,Enjin Coin,ICO,2017-10-31 23:00:00,2017-10-03 12:00:00,28 days 11:00:00.000000000,0 days 00:00:00.000000000
Poland,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.6,Closed,EasyMINE,ICO,2017-09-27 17:00:00,2017-08-24 17:00:00,34 days 00:00:00.000000000,0 days 00:00:00.000000000
United States of America,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,3.7,Trading,Embermine,ICO,2017-06-05 05:00:00,2017-05-05 05:00:00,31 days 00:00:00.000000000,0 days 00:00:00.000000000
United States of America,Blockchain,2017-12-15 12:00:00,2017-12-15 12:00:00,3.0,Closed,EnLedger,ICO,2017-08-31 12:00:00,2017-08-01 12:00:00,30 days 00:00:00.000000000,0 days 00:00:00.000000000
Lithuania,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.1,Trading,Edgeless,ICO,2017-03-21 00:00:00,2017-02-28 00:00:00,21 days 00:00:00.000000000,0 days 00:00:00.000000000
Singapore,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,2.0,Closed,EAVE,ICO,2017-12-24 08:00:00,2017-10-02 08:00:00,83 days 00:00:00.000000000,0 days 00:00:00.000000000
Israel,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,2.2,Trading,E4ROW,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
France,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.3,Trading,DomRaider,ICO,2017-10-11 08:00:00,2017-09-12 08:00:00,29 days 00:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,4.1,Trading,DCORP,ICO,2017-06-29 15:00:00,2017-06-01 15:00:00,28 days 00:00:00.000000000,0 days 00:00:00.000000000
United Kingdom,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,3.0,Trading,DOVU,STO,2017-10-17 17:00:00,2017-10-03 12:00:00,14 days 05:00:00.000000000,0 days 00:00:00.000000000
United States of America,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.4,Trading,district0x,ICO,2017-08-01 19:00:00,2017-07-18 18:00:00,14 days 01:00:00.000000000,0 days 00:00:00.000000000
United States of America,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,4.1,Trading,Encrypgen,ICO,2017-07-18 00:00:00,2017-06-01 00:00:00,47 days 00:00:00.000000000,0 days 00:00:00.000000000
Australia,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.1,Trading,Horizon State,ICO,2017-10-30 03:00:00,2017-10-16 03:00:00,14 days 00:00:00.000000000,0 days 00:00:00.000000000
South Africa,NEM,2017-12-15 12:00:00,2017-12-15 12:00:00,3.9,Closed,DIMCOIN,ICO,2017-08-28 02:59:59,2017-07-16 03:00:00,42 days 23:59:59.000000000,0 days 00:00:00.000000000
Latvia,Ethereum,2017-12-15 12:00:00,2017-12-15 12:00:00,4.1,Trading,DigiPulse,ICO,2017-10-31 12:00:00,2017-10-01 12:00:00,30 days 00:00:00.000000000,0 days 00:00:00.000000000
2017-12-15T12:00:00Z,2017-12-15T12:00:00Z,2017-12-15 12:00:00,2017-12-15 12:00:00,1.1,Unknown,Hubcoin,ICO,2017-12-15 12:00:00,2017-12-15 12:00:00,0 days 00:00:00.000000000,0 days 00:00:00.000000000
Malaysia,Waves,2017-12-15 12:00:00,2017-12-15 12:00:00,2.8,Closed,HomeToken,ICO,2017-11-01 04:00:00,2017-10-01 04:00:00,31 days 00:00:00.000000000,0 days 00:00:00.000000000
